[01:00] BTCUSDT | BUY @ $68,341.28
[01:00] BNBUSDT | BUY @ $614.25
[01:00] XRPUSDT | BUY @ $1.35
[02:00] BNBUSDT | SELL @ $611.06
[02:00] BTCUSDT | SELL @ $68,146.21
[02:00] ETHUSDT | SELL @ $2,140.06
[04:00] SOLUSDT | BUY @ $81.63
[04:00] ETHUSDT | BUY @ $2,154.99
[04:00] BNBUSDT | BUY @ $613.48
[04:00] ADAUSDT | BUY @ $0.25
[04:00] BTCUSDT | BUY @ $68,548.01
[05:00] BTCUSDT | SELL @ $67,339.27
[05:00] SOLUSDT | SELL @ $79.29
[05:00] ETHUSDT | SELL @ $2,098.93
[05:00] BNBUSDT | SELL @ $603.89
[05:00] ADAUSDT | SELL @ $0.24
[05:00] XRPUSDT | SELL @ $1.33
